Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
3/17/1992,22.5,25,22.5,25,0,0,0,0,,,2.5,2.5
3/16/1992,22.5,25,22.5,25,0,0,0,0,,,2.5,2.5
3/13/1992,22.5,25,22.5,25,0,0,0,0,,,2.5,2.5
3/12/1992,22.5,25,22.5,25,0,0,0,0,,,2.5,2.5
3/11/1992,20,25,20,25,0,0,0,0,,,5,5
3/10/1992,22.5,22.5,22.5,22.5,0,0,0,0,,,0,0
2/26/1992,15,20,12.5,20,0,0,0,0,,,7.5,5
2/24/1992,18.75,18.75,17.5,17.5,0,0,0,0,,,1.25,-1.25
2/21/1992,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
2/18/1992,26.25,26.25,25,25,0,0,0,0,,,1.25,-1.25
2/13/1992,20,25,20,25,0,0,0,0,,,5,5
2/12/1992,22.5,25,17.5,25,0,0,0,0,,,7.5,2.5
2/10/1992,17.5,25,17.5,25,0,0,0,0,,,7.5,7.5
2/7/1992,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
2/5/1992,20,25,18.75,25,0,0,0,0,,,6.25,5
2/4/1992,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
2/3/1992,16.25,16.25,16.25,16.25,0,0,0,0,,,0,0
1/31/1992,16.25,20,16.25,20,0,0,0,0,,,3.75,3.75
1/30/1992,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
1/29/1992,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
1/27/1992,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
1/24/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
1/23/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
1/22/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
1/21/1992,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
1/20/1992,18.75,22.5,18.75,22.5,0,0,0,0,,,3.75,3.75
1/17/1992,20,25,20,25,0,0,0,0,,,5,5
1/14/1992,15,17,15,17,0,0,0,0,,,2,2
1/13/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
1/9/1992,15,15,15,15,0,0,0,0,,,0,0
12/19/1991,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
12/18/1991,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
12/11/1991,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
12/5/1991,15,15,15,15,0,0,0,0,,,0,0
12/3/1991,16,18,16,18,0,0,0,0,,,2,2
11/29/1991,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
11/27/1991,15,15,15,15,0,0,0,0,,,0,0
11/20/1991,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
11/18/1991,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
11/13/1991,13,15,13,15,0,0,0,0,,,2,2
11/12/1991,13,15,13,15,0,0,0,0,,,2,2
11/5/1991,12,14,12,14,0,0,0,0,,,2,2
11/1/1991,12,13,12,13,0,0,0,0,,,1,1
10/31/1991,12,14,12,14,0,0,0,0,,,2,2
10/30/1991,12,13,12,13,0,0,0,0,,,1,1
10/24/1991,12,14,12,14,0,0,0,0,,,2,2
10/23/1991,12,14,12,14,0,0,0,0,,,2,2
10/22/1991,13,14,13,14,0,0,0,0,,,1,1
10/21/1991,13,14,13,14,0,0,0,0,,,1,1
10/18/1991,13,15,13,15,0,0,0,0,,,2,2
10/16/1991,12.5,14,12,14,0,0,0,0,,,2,1.5
10/15/1991,13,14,13,14,0,0,0,0,,,1,1
10/14/1991,13,15,13,15,0,0,0,0,,,2,2
10/11/1991,13.5,14.5,13.5,14.5,0,0,0,0,,,1,1
10/10/1991,13,15,13,15,0,0,0,0,,,2,2
10/9/1991,13,15,13,15,0,0,0,0,,,2,2
10/7/1991,13,15,13,15,0,0,0,0,,,2,2
10/4/1991,13,14,13,14,0,0,0,0,,,1,1
10/3/1991,14,14,13,14,0,0,0,0,,,1,0
10/1/1991,13,15,13,15,0,0,0,0,,,2,2
9/30/1991,13,15,13,15,0,0,0,0,,,2,2
9/27/1991,13,15,13,15,0,0,0,0,,,2,2
9/26/1991,13,15,13,15,0,0,0,0,,,2,2
9/25/1991,13,15,13,15,0,0,0,0,,,2,2
9/24/1991,13,15,13,15,0,0,0,0,,,2,2
9/20/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
9/18/1991,13,15,13,15,0,0,0,0,,,2,2
9/17/1991,15,15,15,15,0,0,0,0,,,0,0
9/16/1991,14,14,14,14,0,0,0,0,,,0,0
9/13/1991,15,15,15,15,0,0,0,0,,,0,0
9/10/1991,15,15,15,15,0,0,0,0,,,0,0
9/6/1991,13,15,13,15,0,0,0,0,,,2,2
